Destination,Month,RoomType,Stars,PricePerNight
"Barcelona",6,"Standard",0,2820
"Barcelona",6,"Standard",0,0.2
"Barcelona",6,"Standard",0,1975
"Barcelona",6,"Standard",0,5
"Barcelona",6,"Standard",0,1586
"Barcelona",6,"Standard",0,2200
"Barcelona",6,"Standard",0,2356
"Barcelona",6,"Standard",0,1193
"Barcelona",6,"Standard",0,2004
"Barcelona",6,"Standard",0,500
"Barcelona",6,"Standard",0,1209
"Barcelona",6,"Standard",0,1945
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,965
"Barcelona",6,"Standard",0,1782
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1774
"Barcelona",6,"Standard",0,1437
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,2355
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1350
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,2426
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,1907
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,2701
"Barcelona",6,"Standard",0,1030
"Barcelona",6,"Standard",0,1994
"Barcelona",6,"Standard",0,1587
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1983
"Barcelona",6,"Standard",0,1841
"Barcelona",6,"Standard",0,2355
"Barcelona",6,"Standard",0,11
